iter	RMSE
0	46.2828708
1	43.9029473
2	42.43935775
3	41.38590926
4	40.66526296
5	40.16535783
6	39.81194981
7	39.55934366
8	39.33694012
9	39.16769243
10	39.00936887
11	38.90364231
12	38.81550974
13	38.72403126
14	38.61741004
15	38.55905722
16	38.50034124
17	38.44012021
18	38.38750989
19	38.34084023
20	38.28396446
21	38.23908761
22	38.19765511
23	38.16022079
24	38.12115231
25	38.09486443
26	38.06963265
27	38.02661168
28	38.00863931
29	37.97945817
30	37.9562885
31	37.93287822
32	37.91535534
33	37.8945699
34	37.8790253
35	37.86344442
36	37.84458799
37	37.83279243
38	37.81436381
39	37.79910813
40	37.78378531
41	37.76801743
42	37.74843644
43	37.73138121
44	37.72205551
45	37.70636636
46	37.68689262
47	37.67827159
48	37.65144029
49	37.64149993
50	37.6304127
51	37.62131734
52	37.60769696
53	37.59802274
54	37.58714203
55	37.58000698
56	37.56914176
57	37.55992578
58	37.5502465
59	37.54397884
60	37.52999917
61	37.5178246
62	37.50337905
63	37.49586115
64	37.48134208
65	37.47050773
66	37.45939755
67	37.45130075
68	37.44034888
69	37.4333401
70	37.42356535
71	37.41546905
72	37.40320041
73	37.39243639
74	37.37926517
75	37.3735513
76	37.36404174
77	37.35555136
78	37.34832987
79	37.33940151
80	37.33099611
81	37.3210901
82	37.31397585
83	37.30536375
84	37.29273207
85	37.28606209
86	37.2812902
87	37.27471989
88	37.26945682
89	37.2626614
90	37.25593419
91	37.24251893
92	37.23056846
93	37.22568239
94	37.21795318
95	37.2107502
96	37.20290469
97	37.19352867
98	37.1864205
99	37.17887763
100	37.17222083
101	37.16794824
102	37.16029946
103	37.15484411
104	37.14763498
105	37.14205466
106	37.13557292
107	37.129658
108	37.12211425
109	37.11597007
110	37.10865585
111	37.10240275
112	37.0967277
113	37.09146809
114	37.08660599
115	37.08031544
116	37.07455516
117	37.06929674
118	37.06494232
119	37.06097519
120	37.05710839
121	37.05215264
122	37.04691473
123	37.04310488
124	37.03703546
125	37.0319273
126	37.02764499
127	37.0236758
128	37.01772042
129	37.01275458
130	37.00818343
131	37.00383342
132	36.99917314
133	36.99386332
134	36.98891018
135	36.98447482
136	36.9795887
137	36.97589613
138	36.97149575
139	36.96722739
140	36.9610172
141	36.95666931
142	36.95275102
143	36.94866876
144	36.94360667
145	36.94011691
146	36.93567069
147	36.93229853
148	36.92951988
149	36.92474114
150	36.91935248
151	36.91647969
152	36.91192101
153	36.90830866
154	36.90410404
155	36.89776595
156	36.89389224
157	36.88856091
158	36.87979936
159	36.8732664
160	36.86854814
161	36.86494437
162	36.86063507
163	36.8579403
164	36.85472945
165	36.85135319
166	36.84706398
167	36.84379748
168	36.84045779
169	36.83334117
170	36.8297365
171	36.82673973
172	36.82304457
173	36.81962846
174	36.81509014
175	36.81120375
176	36.8078845
177	36.80381687
178	36.80070007
