iter	RMSE
0	47.08181431
1	45.13684922
2	43.72439483
3	42.70645502
4	41.93653555
5	41.34470111
6	40.90131722
7	40.53884906
8	40.25303297
9	40.0343905
10	39.84235433
11	39.68071325
12	39.5409252
13	39.42086851
14	39.3236837
15	39.238186
16	39.16667089
17	39.08079329
18	39.0153657
19	38.95873822
20	38.91012604
21	38.86239488
22	38.81953695
23	38.78378212
24	38.74599047
25	38.71261549
26	38.68534179
27	38.65403143
28	38.62006375
29	38.57794097
30	38.55322144
31	38.52604433
32	38.50304554
33	38.48616024
34	38.46146019
35	38.44267606
36	38.42839478
37	38.41004201
38	38.39427964
39	38.37837236
40	38.36380541
41	38.34300666
42	38.32440247
43	38.31011144
44	38.2957646
45	38.28153939
46	38.2698801
47	38.25711462
48	38.24082269
49	38.23008201
50	38.21719944
51	38.20692487
52	38.1970546
53	38.18220258
54	38.17202601
55	38.16375916
56	38.15346529
57	38.14322766
58	38.13321368
59	38.1240915
60	38.11678362
61	38.10884511
62	38.09539117
63	38.08474889
64	38.07700262
65	38.06698705
66	38.05826632
67	38.05010041
68	38.03860002
69	38.02991043
70	38.02187339
71	38.01477793
72	38.00581729
73	37.99877021
74	37.99196019
75	37.98329318
76	37.97581072
77	37.96876386
78	37.9626456
79	37.95241636
80	37.94646951
81	37.93973469
82	37.93238253
83	37.92709024
84	37.92137505
85	37.91459486
86	37.90933075
87	37.9046232
88	37.89855109
89	37.89072266
90	37.88446917
91	37.87744819
92	37.87303915
93	37.86848217
94	37.8627429
95	37.85807504
96	37.85355469
97	37.84985614
98	37.84477138
99	37.83852514
100	37.83413139
101	37.8288118
102	37.82445535
103	37.82057878
104	37.81578575
105	37.81219155
106	37.80785929
107	37.80432534
108	37.7999828
109	37.79646163
110	37.79223161
111	37.78870908
112	37.78495521
113	37.78086194
114	37.77690068
115	37.77054949
116	37.76684548
117	37.7637542
118	37.75972371
119	37.75641115
120	37.75146389
121	37.74805391
122	37.74441786
123	37.74058357
124	37.73738554
125	37.7338163
126	37.7306767
127	37.72555261
128	37.72186539
129	37.71765426
130	37.71449606
131	37.71095998
132	37.70820242
133	37.70562069
134	37.70161431
135	37.69913132
136	37.69639928
137	37.69211375
138	37.68975488
139	37.68581774
140	37.6830653
141	37.68020035
142	37.67788395
143	37.67550854
144	37.67301128
145	37.6711277
146	37.6690316
147	37.66699038
148	37.66377397
149	37.66024448
150	37.65754768
151	37.65378309
152	37.65220516
153	37.64986831
154	37.64708177
155	37.64393312
156	37.6414365
157	37.6391737
158	37.63651019
159	37.63272146
160	37.62937891
161	37.62745232
162	37.62454115
163	37.62242963
164	37.61949113
165	37.61646008
166	37.6134808
167	37.61035189
168	37.60788322
169	37.60598286
170	37.60348731
171	37.60056244
172	37.5990083
173	37.59508244
174	37.59353663
175	37.59154294
176	37.58776849
177	37.58549545
178	37.58324488
179	37.58099518
180	37.5777801
181	37.57500831
182	37.57239285
183	37.57044254
184	37.56817024
185	37.56599021
186	37.5636891
187	37.56088661
188	37.5584722
189	37.55690658
190	37.55478788
191	37.55317216
192	37.54956209
193	37.54730315
194	37.54581293
195	37.54343767
196	37.53894611
197	37.53735388
198	37.53443669
199	37.53263155
200	37.53016796
201	37.52820496
202	37.52559439
203	37.52361166
204	37.52148853
205	37.5202881
206	37.51874579
207	37.51684559
208	37.51359316
209	37.5115352
210	37.50999483
211	37.50804547
212	37.50645913
213	37.50466004
214	37.50262386
215	37.50126557
216	37.49945985
217	37.49746465
218	37.49546363
219	37.49339835
220	37.49090544
221	37.48795447
222	37.48587031
223	37.48391322
224	37.48151084
225	37.47955902
226	37.47797889
227	37.47638252
228	37.4746937
229	37.47317963
230	37.47151732
231	37.46975124
232	37.46818469
233	37.46655924
234	37.46407385
235	37.46216568
236	37.46062307
237	37.45858917
238	37.45646943
239	37.45473076
240	37.45258101
241	37.45049111
242	37.44894942
243	37.447707
244	37.44592119
245	37.44401591
246	37.44160863
247	37.44036102
248	37.43916634
249	37.43760817
250	37.43650006
251	37.43463104
252	37.43229765
253	37.43026608
254	37.42844162
255	37.4272131
256	37.42600733
257	37.42487651
258	37.42333253
259	37.42161525
260	37.41969787
261	37.41808543
262	37.41614506
263	37.41500595
264	37.41297411
265	37.41149038
266	37.40953902
267	37.40789027
268	37.40645871
269	37.40456292
270	37.40263927
271	37.40096316
272	37.39942701
273	37.39824189
274	37.39654272
275	37.39533772
276	37.3938682
277	37.3925231
278	37.39095128
279	37.39001555
280	37.38810853
281	37.38682853
282	37.38542413
283	37.38340698
284	37.38176516
285	37.38004972
286	37.37808259
287	37.37629078
288	37.37397495
289	37.37168855
290	37.36984006
